slug,name,level,schemes_count
department-of-agriculture-and-farmers-welfare-andaman-and-nicobar-islands,"Department of Agriculture & Farmers Welfare, Andaman and Nicobar Islands",state,8
department-of-agriculture-and-farmers-welfare-andhra-pradesh,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",state,24
department-of-agriculture-and-farmers-welfare-arunachal-pradesh,"Department of Agriculture & Farmers Welfare, Arunachal Pradesh",state,16
department-of-agriculture-and-farmers-welfare-assam,"Department of Agriculture & Farmers Welfare, Assam",state,22
department-of-agriculture-and-farmers-welfare-bihar,"Department of Agriculture & Farmers Welfare, Bihar",state,24
department-of-agriculture-and-farmers-welfare-chandigarh,"Department of Agriculture & Farmers Welfare, Chandigarh",state,8
department-of-agriculture-and-farmers-welfare-chhattisgarh,"Department of Agriculture & Farmers Welfare, Chhattisgarh",state,17
department-of-agriculture-and-farmers-welfare-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Agriculture & Farmers Welfare, Dadra and Nagar Haveli and Daman and Diu",state,8
department-of-agriculture-and-farmers-welfare-delhi,"Department of Agriculture & Farmers Welfare, Delhi",state,17
department-of-agriculture-and-farmers-welfare-goa,"Department of Agriculture & Farmers Welfare, Goa",state,11
department-of-agriculture-and-farmers-welfare-gujarat,"Department of Agriculture & Farmers Welfare, Gujarat",state,24
department-of-agriculture-and-farmers-welfare-haryana,"Department of Agriculture & Farmers Welfare, Haryana",state,24
department-of-agriculture-and-farmers-welfare-himachal-pradesh,"Department of Agriculture & Farmers Welfare, Himachal Pradesh",state,16
department-of-agriculture-and-farmers-welfare-jammu-and-kashmir,"Department of Agriculture & Farmers Welfare, Jammu and Kashmir",state,16
department-of-agriculture-and-farmers-welfare-jharkhand,"Department of Agriculture & Farmers Welfare, Jharkhand",state,17
department-of-agriculture-and-farmers-welfare-karnataka,"Department of Agriculture & Farmers Welfare, Karnataka",state,24
department-of-agriculture-and-farmers-welfare-kerala,"Department of Agriculture & Farmers Welfare, Kerala",state,24
department-of-agriculture-and-farmers-welfare-ladakh,"Department of Agriculture & Farmers Welfare, Ladakh",state,8
department-of-agriculture-and-farmers-welfare-lakshadweep,"Department of Agriculture & Farmers Welfare, Lakshadweep",state,8
department-of-agriculture-and-farmers-welfare-madhya-pradesh,"Department of Agriculture & Farmers Welfare, Madhya Pradesh",state,24
department-of-agriculture-and-farmers-welfare-maharashtra,"Department of Agriculture & Farmers Welfare, Maharashtra",state,32
department-of-agriculture-and-farmers-welfare-manipur,"Department of Agriculture & Farmers Welfare, Manipur",state,16
department-of-agriculture-and-farmers-welfare-meghalaya,"Department of Agriculture & Farmers Welfare, Meghalaya",state,16
department-of-agriculture-and-farmers-welfare-mizoram,"Department of Agriculture & Farmers Welfare, Mizoram",state,11
department-of-agriculture-and-farmers-welfare-nagaland,"Department of Agriculture & Farmers Welfare, Nagaland",state,11
department-of-agriculture-and-farmers-welfare-odisha,"Department of Agriculture & Farmers Welfare, Odisha",state,24
department-of-agriculture-and-farmers-welfare-puducherry,"Department of Agriculture & Farmers Welfare, Puducherry",state,8
department-of-agriculture-and-farmers-welfare-punjab,"Department of Agriculture & Farmers Welfare, Punjab",state,24
department-of-agriculture-and-farmers-welfare-rajasthan,"Department of Agriculture & Farmers Welfare, Rajasthan",state,24
department-of-agriculture-and-farmers-welfare-sikkim,"Department of Agriculture & Farmers Welfare, Sikkim",state,11
department-of-agriculture-and-farmers-welfare-tamil-nadu,"Department of Agriculture & Farmers Welfare, Tamil Nadu",state,32
